DY,MO,YEAR,pm25
7,1,2020,91
8,1,2020,92
9,1,2020,111
10,1,2020,99
11,1,2020,100
12,1,2020,107
13,1,2020,98
14,1,2020,122
15,1,2020,117
16,1,2020,142
17,1,2020,122
18,1,2020,121
19,1,2020,111
20,1,2020,89
21,1,2020,90
22,1,2020,79
23,1,2020,62
24,1,2020,66
25,1,2020,53
26,1,2020,50
27,1,2020,52
28,1,2020,58
29,1,2020,62
30,1,2020,70
31,1,2020,78
1,2,2020,103
2,2,2020,110
3,2,2020,100
4,2,2020,85
5,2,2020,83
6,2,2020,92
7,2,2020,89
8,2,2020,114
9,2,2020,101
10,2,2020,101
11,2,2020,85
12,2,2020,58
13,2,2020,59
14,2,2020,62
15,2,2020,53
16,2,2020,59
17,2,2020,79
18,2,2020,84
19,2,2020,102
20,2,2020,117
21,2,2020,97
22,2,2020,73
23,2,2020,69
24,2,2020,99
25,2,2020,100
26,2,2020,89
27,2,2020,68
28,2,2020,85
29,2,2020,74
1,3,2020,63
2,3,2020,56
3,3,2020,55
4,3,2020,61
5,3,2020,57
6,3,2020,62
7,3,2020,67
8,3,2020,81
9,3,2020,81
10,3,2020,88
11,3,2020,75
12,3,2020,59
13,3,2020,54
14,3,2020,59
15,3,2020,56
16,3,2020,85
17,3,2020,80
18,3,2020,77
19,3,2020,58
20,3,2020,56
21,3,2020,60
22,3,2020,59
23,3,2020,52
24,3,2020,55
25,3,2020,60
26,3,2020,55
27,3,2020,53
28,3,2020,55
29,3,2020,46
30,3,2020,52
31,3,2020,54
1,10,2019,98
2,10,2019,99
3,10,2019,122
4,10,2019,87
5,10,2019,68
6,10,2019,68
7,10,2019,62
8,10,2019,78
9,10,2019,105
10,10,2019,100
11,10,2019,76
12,10,2019,61
13,10,2019,90
14,10,2019,73
15,10,2019,82
16,10,2019,93
17,10,2019,108
18,10,2019,116
19,10,2019,116
20,10,2019,106
21,10,2019,125
22,10,2019,129
23,10,2019,91
24,10,2019,103
25,10,2019,121
26,10,2019,105
27,10,2019,121
28,10,2019,103
29,10,2019,99
30,10,2019,112
31,10,2019,93
1,11,2019,100
2,11,2019,79
3,11,2019,109
4,11,2019,113
5,11,2019,150
6,11,2019,155
7,11,2019,157
8,11,2019,222
9,11,2019,169
10,11,2019,163
12,11,2019,166
13,11,2019,156
15,11,2019,111
16,11,2019,118
17,11,2019,97
18,11,2019,82
19,11,2019,101
20,11,2019,100
21,11,2019,129
22,11,2019,130
23,11,2019,126
24,11,2019,110
25,11,2019,112
26,11,2019,101
27,11,2019,86
28,11,2019,86
29,11,2019,88
30,11,2019,88
1,12,2019,89
2,12,2019,101
3,12,2019,111
4,12,2019,108
5,12,2019,113
6,12,2019,70
7,12,2019,104
8,12,2019,89
9,12,2019,96
10,12,2019,128
11,12,2019,130
12,12,2019,122
13,12,2019,118
14,12,2019,110
15,12,2019,87
16,12,2019,84
17,12,2019,91
18,12,2019,96
19,12,2019,106
20,12,2019,105
21,12,2019,103
22,12,2019,105
23,12,2019,94
24,12,2019,91
25,12,2019,98
26,12,2019,82
27,12,2019,107
28,12,2019,140
29,12,2019,137
1,7,2019,68
2,7,2019,70
3,7,2019,54
4,7,2019,54
5,7,2019,73
6,7,2019,71
9,7,2019,76
10,7,2019,77
11,7,2019,81
12,7,2019,80
13,7,2019,69
14,7,2019,67
15,7,2019,75
16,7,2019,62
17,7,2019,57
18,7,2019,52
19,7,2019,49
20,7,2019,53
21,7,2019,71
22,7,2019,59
23,7,2019,72
24,7,2019,64
25,7,2019,71
26,7,2019,70
27,7,2019,70
28,7,2019,77
29,7,2019,63
30,7,2019,75
31,7,2019,73
1,8,2019,70
2,8,2019,56
3,8,2019,50
4,8,2019,51
5,8,2019,62
6,8,2019,55
7,8,2019,54
8,8,2019,55
9,8,2019,46
10,8,2019,47
11,8,2019,57
12,8,2019,78
13,8,2019,80
14,8,2019,74
15,8,2019,53
16,8,2019,50
17,8,2019,77
18,8,2019,107
19,8,2019,86
20,8,2019,65
21,8,2019,79
22,8,2019,75
23,8,2019,66
24,8,2019,71
25,8,2019,54
26,8,2019,55
27,8,2019,65
28,8,2019,60
29,8,2019,55
30,8,2019,52
31,8,2019,58
1,9,2019,63
2,9,2019,36
3,9,2019,48
4,9,2019,55
5,9,2019,49
